Release,Transaction Name,# Samples,Average,Madian,90%,95%,99%,Minimum,Error %,Throughput,Received KB/Sec
Release1,Transaction1,168071,71953,1830,12746,17880,34660,0,0.014839,2.592893,64.668190
Release1,Transaction2,83935,21408,2498,13058,18214,33321,374,0.004146,1.295028,11.808167
Release1,Transaction3,83912,7694,569,3977,6213,13044,122,0.001692,1.294703,4.450930
Release1,Transaction4,83912,5458,366,2055,3718,10773,103,0.001239,1.294706,4.432375
Release1,Transaction5,83902,4314,325,1264,2200,9298,100,0.001108,1.294554,1.811159
Release1,Transaction6,83897,7154,429,1469,2621,9187,165,0.001097,1.294478,2.725384
Release1,Transaction7,83891,2964,426,1358,2193,8919,145,0.000751,1.294391,2.233646
Release1,Transaction8,83883,1640,410,1318,2076,8449,149,0.000739,1.294285,2.102808
Release1,Transaction9,83880,3015,359,1284,2094,8687,110,0.000536,1.294243,2.022855
Release1,Transaction10,83879,4182,414,1396,2600,13599,147,0.001145,1.294224,18.279777
Release2,Transaction1,83875,2284,361,1302,2206,8870,108,0.000620,1.294170,2.330837
Release2,Transaction2,83872,1686,515,1554,2614,8786,170,0.000382,1.294135,2.664013
Release2,Transaction3,83870,1566,351,1275,2125,8847,112,0.000489,1.294109,2.661977
Release2,Transaction4,83869,4298,391,1291,2037,8543,128,0.000489,1.294084,2.171269
Release2,Transaction5,83868,2260,341,1262,2072,8384,107,0.000584,1.294079,2.177065
Release2,Transaction6,83862,2839,342,1363,2429,8603,108,0.000608,1.293985,2.766119
Release2,Transaction7,83860,1560,337,1255,2034,8521,107,0.000429,1.293995,2.160043
Release2,Transaction8,83858,3621,334,1246,2011,8214,107,0.000537,1.293931,2.221657
Release2,Transaction9,83857,3514,334,1231,1955,8109,107,0.000560,1.293918,2.267389
Release2,Transaction10,83853,751,334,1237,1971,8199,108,0.000441,1.294063,2.437860
Release3,Transaction1,83849,1478,332,1218,1922,7857,107,0.000370,1.293805,2.327060
Release3,Transaction2,83849,2192,333,1224,1936,8123,108,0.000501,1.293805,2.656134
Release3,Transaction3,83848,2057,334,1243,1974,8217,108,0.000489,1.293790,2.431828
Release3,Transaction4,83846,1374,333,1228,1910,7859,108,0.000382,1.293763,2.304137
Release3,Transaction5,83844,1398,330,1228,1953,8146,107,0.000477,1.293734,2.176634
Release3,Transaction6,83843,2060,330,1228,1936,8160,106,0.000584,1.293721,2.249836
Release3,Transaction7,83842,4659,329,1222,1954,8338,107,0.000537,1.293707,2.195078
Release3,Transaction8,83839,2860,336,1229,1932,8424,110,0.000728,1.293665,2.396730
Release3,Transaction9,83834,4280,341,1232,1917,8324,114,0.000644,1.293587,2.095499
Release3,Transaction10,83829,4991,875,1891,2900,9284,187,0.000775,1.293517,3.953461
Release4,Transaction1,83825,4442,383,1331,2481,9227,135,0.000811,1.293470,2.930966
Release4,Transaction2,83821,9814,543,3143,4940,11832,178,0.001670,1.293410,9.862796
Release4,Transaction3,83813,4330,365,1360,2885,10343,122,0.001038,1.293293,2.195157
Release4,Transaction4,83804,1486,338,1232,1970,8175,109,0.000442,1.293169,2.154542
Release4,Transaction5,83799,1509,331,1205,1860,8344,109,0.000573,1.293095,2.120398
Release4,Transaction6,83798,1361,331,1200,1833,7564,110,0.000310,1.293071,2.202362
Release4,Transaction7,83797,767,341,1223,1933,8258,107,0.000346,1.293261,2.397745
Release4,Transaction8,83796,2873,332,1203,1863,7422,110,0.000442,1.293051,2.210749
Release4,Transaction9,83795,3608,333,1207,1898,7560,111,0.000418,1.293036,2.722269
Release4,Transaction10,83792,740,340,1195,1822,7232,114,0.000346,1.293196,2.398028
Release5,Transaction1,83789,1496,349,1307,2264,7931,124,0.000382,1.292955,3.983325
Release5,Transaction2,83789,9460,557,3171,4910,11543,160,0.001277,1.292946,12.203509
Release5,Transaction3,83786,5328,350,1617,3860,10558,115,0.001026,1.292911,5.237371
Release5,Transaction4,83776,4219,399,1321,2337,8451,148,0.000501,1.292753,3.812050
Release5,Transaction5,83769,1424,329,1190,1842,7240,112,0.000298,1.292662,2.147521
Release5,Transaction6,83765,7398,587,3871,6018,12687,112,0.003641,1.294990,2.904572
Release5,Transaction7,83766,52984,24352,89341,128694,423729,7186,0.028066,1.292421,9.260914
Release5,Transaction8,83769,1424,329,1190,1842,7240,112,0.000298,1.292662,2.147521
Release5,Transaction9,83765,7398,587,3871,6018,12687,112,0.003641,1.294990,2.904572
Release5,Transaction10,83766,52984,24352,89341,128694,423729,7186,0.028066,1.292421,9.260914
